Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
P25815,Protein S100-P,S100P,2,24.2,10.4,95,0,7.9815,163460000
P25940,Collagen alpha-3(V) chain,COL5A3,4,4.8,172.12,1745,0,59.925,49905000
P26038,Moesin,MSN,44,63.3,67.819,577,0,323.31,17061000000
P26447,Protein S100-A4,S100A4,5,36.6,11.728,101,0,8.1265,1904900000
P26572,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,10,27.2,50.878,445,0,34.81,304800000
P26639,"Threonine--tRNA ligase, cytoplasmic",TARS,2,3,83.434,723,0,3.8948,13280000
P26641,Elongation factor 1-gamma,EEF1G,2,4.6,50.118,437,0,3.5163,23681000
P26842,CD27 antigen,CD27,2,8.1,29.137,260,0.00061387,2.1729,98702000
P26885,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,2,28.2,15.649,142,0,3.0374,57896000
P26992,Ciliary neurotrophic factor receptor subunit alpha,CNTFR,8,33.1,40.633,372,0,302.54,1844800000
P27169,Serum paraoxonase/arylesterase 1,PON1,16,70.4,39.731,355,0,323.31,4.6223E+11
P27348,14-3-3 protein theta,YWHAQ,7,46.9,27.764,245,0,86.092,287320000
P27487,Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form,DPP4,27,34.2,88.278,766,0,310.67,4094200000
P27797,Calreticulin,CALR,19,62.4,48.141,417,0,323.31,13778000000
P27824,Calnexin,CANX,5,10,67.567,592,0,20.18,263650000
P27918,Properdin,CFP,16,36.9,51.276,469,0,193.46,13051000000
P27930,"Interleukin-1 receptor type 2;Interleukin-1 receptor type 2, membrane form;Interleukin-1 receptor type 2, soluble form",IL1R2,15,43,45.421,398,0,172.5,2295000000
P28066,Proteasome subunit alpha type-5,PSMA5,9,52.7,26.411,241,0,226.28,425220000
P28070,Proteasome subunit beta type-4,PSMB4,8,48.5,29.204,264,0,65.049,276340000
P28072,Proteasome subunit beta type-6,PSMB6,6,26.8,25.357,239,0,8.5101,192370000
P28074,Proteasome subunit beta type-5,PSMB5,4,23.6,28.48,263,0,20.919,98191000
P28799,Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,GRN,18,39.8,63.544,593,0,323.31,2553700000
P28838,Cytosol aminopeptidase,LAP3,3,7.2,52.771,488,0,15.325,37282000
P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,4,13,32.401,292,0,35.122,145740000
P28906,Hematopoietic progenitor cell antigen CD34,CD34,3,6.5,40.716,385,0.0040984,1.709,142770000
P29122,Proprotein convertase subtilisin/kexin type 6,PCSK6,3,2.7,105.12,956,0,2.34,25687000
P29279,Connective tissue growth factor,CTGF,5,19.6,35.205,322,0,11.994,444720000
P29350,Tyrosine-protein phosphatase non-receptor type 6,PTPN6,10,21.5,67.56,595,0,58.067,200670000
P29401,Transketolase,TKT,28,49.1,67.877,623,0,323.31,6947700000
P29622,Kallistatin,SERPINA4,28,68.4,48.541,427,0,323.31,5.3487E+11
P29966,Myristoylated alanine-rich C-kinase substrate,MARCKS,5,19.3,31.554,332,0,15.774,302900000
P30040,Endoplasmic reticulum resident protein 29,ERP29,7,32.2,28.993,261,0,13.174,143630000
P30041,Peroxiredoxin-6,PRDX6,11,49.6,25.035,224,0,64.662,595090000
P30043,Flavin reductase (NADPH),BLVRB,6,47.1,22.119,206,0,122.76,1686200000
P30085,UMP-CMP kinase,CMPK1,2,14.3,22.222,196,0,9.7957,72255000
P30086,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,10,58.3,21.057,187,0,36.782,1212800000
P30101,Protein disulfide-isomerase A3,PDIA3,29,58.6,56.782,505,0,323.31,8287200000
P30462,"HLA class I histocompatibility antigen, B-14 alpha chain;HLA class I histocompatibility antigen, B-37 alpha chain;HLA class I histocompatibility antigen, B-82 alpha chain",HLA-B,4,40.9,40.358,362,0,101.9,349830000
P30501,"HLA class I histocompatibility antigen, Cw-2 alpha chain",HLA-C,2,33.1,41.094,366,0,14.969,364270000
P30508,"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-15 alpha chain",HLA-C,17,48.6,40.885,366,0,217.17,4985900000
P30520,Adenylosuccinate synthetase isozyme 2,ADSS,3,8.6,50.097,456,0,29.059,8283400
P30530,Tyrosine-protein kinase receptor UFO,AXL,6,11.1,97.376,885,0,90.977,1251100000
P30740,Leukocyte elastase inhibitor,SERPINB1,14,44.9,42.741,379,0,185.6,750790000
P31025,Lipocalin-1;Putative lipocalin 1-like protein 1,LCN1;LCN1P1,4,23.3,19.25,176,0,8.0333,60433000
P31146,Coronin-1A;Coronin,CORO1A,17,44.9,51.026,461,0,199.4,3436900000
P31150,Rab GDP dissociation inhibitor alpha,GDI1,23,60,50.582,447,0,272.24,2334900000
P31151,Protein S100-A7;Protein S100-A7A,S100A7;S100A7A,2,22.8,11.471,101,0.0040912,1.6969,19364000
P31939,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,11,28.3,64.523,591,0,107.4,221400000
P31946,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,9,62.3,27.85,244,0,323.31,805370000
P31948,Stress-induced-phosphoprotein 1,STIP1,9,17.5,59.777,519,0,37.831,178030000
P31949,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,4,42.9,11.74,105,0,42.425,395200000
P32004,Neural cell adhesion molecule L1,L1CAM,24,25.1,138.91,1248,0,137.46,1985900000
P32119,Peroxiredoxin-2,PRDX2,10,36.9,21.892,198,0,79.821,4874900000
P32754,4-hydroxyphenylpyruvate dioxygenase,HPD,14,40.2,44.934,393,0,232,1639700000
P32942,Intercellular adhesion molecule 3,ICAM3,11,19.2,59.54,547,0,111.82,2205100000
P33151,Cadherin-5,CDH5,21,33.5,87.527,784,0,323.31,9596800000
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MAN1A1,31,43,72.968,653,0,323.31,30219000000
P34059,N-acetylgalactosamine-6-sulfatase,GALNS,6,15.1,58.025,522,0,22.629,914220000
P34096,Ribonuclease 4,RNASE4,7,44.2,16.84,147,0,55.738,300800000
P34932,Heat shock 70 kDa protein 4,HSPA4,20,27.6,94.33,840,0,58.201,552450000
P35052,Glypican-1;Secreted glypican-1,GPC1,12,30.1,61.68,558,0,48.909,527540000
P35237,Serpin B6,SERPINB6,7,25.8,42.621,376,0,79.545,460130000
P35241,Radixin,RDX,8,32.8,68.563,583,0,26.625,156110000
P35247,Pulmonary surfactant-associated protein D,SFTPD,2,9.6,37.728,375,0,2.7391,43629000
P35443,Thrombospondin-4,THBS4,34,50.1,105.87,961,0,323.31,14949000000
P35542,Serum amyloid A-4 protein,SAA4,2,15.4,14.746,130,0.0035503,1.7849,27613000
P35555,Fibrillin-1,FBN1,69,32.1,312.24,2871,0,323.31,7969800000
P35579,Myosin-9,MYH9,41,25.1,226.53,1960,0,237.49,1043200000
P35590,Tyrosine-protein kinase receptor Tie-1,TIE1,20,24.7,125.09,1138,0,210.96,2555800000
P35858,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,32,63.5,66.034,605,0,323.31,3.4936E+11
P35908,"Keratin, type II cytoskeletal 2 epidermal",KRT2,35,60.6,65.432,639,0,323.31,6434300000
P35968,Vascular endothelial growth factor receptor 2,KDR,7,10.3,75.895,678,0,19.04,227660000
P36222,Chitinase-3-like protein 1,CHI3L1,19,51.7,42.625,383,0,323.31,8341100000
P36269,Gamma-glutamyltransferase 5;Gamma-glutamyltransferase 5 heavy chain;Gamma-glutamyltransferase 5 light chain,GGT5,7,16.2,58.992,554,0,45.087,167130000
P36871,Phosphoglucomutase-1,PGM1,17,37.2,61.448,562,0,109.28,446810000
P36955,Pigment epithelium-derived factor,SERPINF1,24,59.6,46.312,418,0,323.31,5.826E+11
P37173,TGF-beta receptor type-2,TGFBR2,2,4.1,64.567,567,0,34.213,73137000
P37235,Hippocalcin-like protein 1;Neuron-specific calcium-binding protein hippocalcin,HPCAL1;HPCA,7,38.9,22.313,193,0,10.353,91979000
P37802,Transgelin-2,TAGLN2,17,85.9,22.391,199,0,187.46,15179000000
P37837,Transaldolase,TALDO1,16,39.8,37.54,337,0,58.875,3712600000
P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,2,5.1,64.735,584,0,29.446,30374000
P39059,Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,COL15A1,7,6.1,141.72,1388,0,39.945,910930000
P39060,Collagen alpha-1(XVIII) chain;Endostatin,COL18A1,12,11.1,135.76,1339,0,69.326,3753200000
P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,6,27.7,28.585,249,0,8.4856,111450000
P40121,Macrophage-capping protein,CAPG,2,6.6,36.856,333,0,2.3876,17979000
P40189,Interleukin-6 receptor subunit beta,IL6ST,19,26.3,103.54,918,0,272.18,4718600000
P40197,Platelet glycoprotein V,GP5,16,34.5,60.958,560,0,145.02,1686500000
P40306,Proteasome subunit beta type-10,PSMB10,4,13.9,28.936,273,0,17.097,300850000
P40925,"Malate dehydrogenase, cytoplasmic",MDH1,12,36.5,36.426,334,0,57.051,2519100000
P40926,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,5,20.1,35.503,338,0,13.745,49260000
P40967,Melanocyte protein PMEL;M-alpha;M-beta,PMEL,5,10.3,66.035,619,0,3.8733,215810000
P41159,Leptin,LEP,3,24.6,18.64,167,0,12.021,175350000
P41222,Prostaglandin-H2 D-isomerase,PTGDS,8,40.5,21.029,190,0,124.07,20450000000
P41226,Ubiquitin-like modifier-activating enzyme 7,UBA7,10,12.6,111.69,1012,0,29.912,142470000
P41250,Glycine--tRNA ligase,GARS,2,4.6,83.165,739,0,10.253,9495200
P41271,Neuroblastoma suppressor of tumorigenicity 1,NBL1;MINOS1-NBL1,2,9.9,19.408,181,0,3.0231,665260000
P42081,T-lymphocyte activation antigen CD86,CD86,2,6.9,28.419,247,0,3.1789,180720000
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1;DCI,7,25.5,32.816,302,0,52.711,782840000
P42574,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,CASP3,2,9,31.608,277,0.0035651,1.8328,24242000
P42702,Leukemia inhibitory factor receptor,LIFR,2,2.7,123.74,1097,0,4.4465,10444000
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,3,7.6,41.924,397,0,10.155,46711000
P42768,Wiskott-Aldrich syndrome protein,WAS,2,4.6,52.912,502,0.0046539,1.6378,17594000
P42785,Lysosomal Pro-X carboxypeptidase,PRCP,11,24.8,55.799,496,0,108.25,1887000000
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,PAFAH1B1,6,19.3,46.637,410,0,15.567,71578000
P43121,Cell surface glycoprotein MUC18,MCAM,24,42,71.607,646,0,323.31,19838000000
P43251,Biotinidase,BTD,20,44.4,58.913,523,0,323.31,1.3101E+11
P43487,Ran-specific GTPase-activating protein,RANBP1,2,10,23.239,200,0,14.915,31858000
P43652,Afamin,AFM,35,53.8,69.068,599,0,323.31,52288000000
P45877,Peptidyl-prolyl cis-trans isomerase C,PPIC,3,14.6,22.763,212,0,7.4199,469470000
P46109,Crk-like protein,CRKL,6,25.7,33.777,303,0,14.389,204590000
P46531,Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain,NOTCH1,12,6.2,272.5,2555,0,107.03,359100000
P46926,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,5,21.1,32.668,289,0,46.573,63770000
P47755,F-actin-capping protein subunit alpha-2,CAPZA2,3,18.2,32.949,286,0,40.781,45107000
P47972,Neuronal pentraxin-2,NPTX2,3,10.2,47.041,431,0,7.1781,17935000
P48052,Carboxypeptidase A2,CPA2,5,11,47.03,419,0,5.4089,77813000
P48059,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,4,15.7,37.251,325,0,5.7177,46074000
P48147,Prolyl endopeptidase,PREP,17,29,80.699,710,0,76.395,12430000000
P48163,NADP-dependent malic enzyme,ME1,11,26.2,64.149,572,0,124.85,491490000
P48357,Leptin receptor,LEPR,11,18.8,96.04,839,0,102.99,399580000
P48506,Glutamate--cysteine ligase catalytic subunit,GCLC,5,7.4,72.765,637,0,5.6969,53164000
P48507,Glutamate--cysteine ligase regulatory subunit,GCLM,2,11.3,30.727,274,0.0052113,1.5967,1558000000
P48637,Glutathione synthetase,GSS,27,62.2,52.384,474,0,240.92,4481000000
P48723,Heat shock 70 kDa protein 13,HSPA13,10,21.9,51.927,471,0,79.146,596910000
P48740,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,12,50.6,79.246,699,0,110.72,9426800000
P48745,Protein NOV homolog,NOV,3,11.5,39.162,357,0,11.119,118560000
P48960,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,4,7,81.742,742,0,20.055,46689000
P49247,Ribose-5-phosphate isomerase,RPIA,3,11.6,33.269,311,0,2.6417,76527000
P49257,Protein ERGIC-53,LMAN1,6,8.4,57.548,510,0,133.47,676490000
P49407,Beta-arrestin-1,ARRB1,4,15.9,46.308,410,0,35.337,35140000
P49641,Alpha-mannosidase 2x;Alpha-mannosidase,MAN2A2,31,37,130.54,1150,0,323.31,2112300000
P49720,Proteasome subunit beta type-3,PSMB3,5,31.7,22.949,205,0,31.101,256290000
P49721,Proteasome subunit beta type-2,PSMB2,6,37.3,22.836,201,0,30.814,241300000
P49908,Selenoprotein P,SEPP1,10,21.8,43.173,381,0,117.39,46352000000
P50395,Rab GDP dissociation inhibitor beta,GDI2,11,53,50.663,445,0,270.9,1451200000
P50453,Serpin B9,SERPINB9,6,21,42.403,376,0,13.651,81126000
P50552,Vasodilator-stimulated phosphoprotein,VASP,8,27.1,39.829,380,0,72.577,330920000
P50895,Basal cell adhesion molecule,BCAM,15,30.1,67.404,628,0,129.19,654960000
P51161,Gastrotropin,FABP6,3,23.4,14.371,128,0,4.6095,69646000
P51805,Plexin-A3,PLXNA3,2,1.8,207.7,1871,0.0018171,2.0406,19276000
P51858,Hepatoma-derived growth factor,HDGF,2,8.2,25.537,233,0,2.6051,17870000
P51884,Lumican,LUM,15,44.4,38.429,338,0,323.31,5.9561E+11
P52209,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,21,53.6,51.872,470,0,323.31,2899800000
P52566,Rho GDP-dissociation inhibitor 2,ARHGDIB,7,46.3,22.988,201,0,214.73,2939900000
P52758,Ribonuclease UK114,HRSP12,2,21.9,14.494,137,0,7.5182,24083000
P52790,Hexokinase-3,HK3,5,7,99.024,923,0,9.3208,42773000
P52799,Ephrin-B2,EFNB2,4,15.6,36.923,333,0,15.906,123100000
P52848,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1;Heparan sulfate N-deacetylase 1;Heparan sulfate N-sulfotransferase 1,NDST1,8,10.3,100.87,882,0,40.999,110540000
P52907,F-actin-capping protein subunit alpha-1,CAPZA1,5,27.6,32.922,286,0,107.6,170950000
P53004,Biliverdin reductase A,BLVRA,3,10.5,33.428,296,0,5.711,36838000
P53634,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,CTSC,13,30.9,51.853,463,0,73.645,1135900000
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,CACNA2D1,46,47.6,124.57,1103,0,323.31,11080000000
P54317,Pancreatic lipase-related protein 2;Triacylglycerol lipase,PNLIPRP2,2,6.2,51.946,469,0,5.8001,28483000
P54727,UV excision repair protein RAD23 homolog B,RAD23B,9,28.1,43.171,409,0,61.595,329210000
P54802,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,32,59,82.265,743,0,323.31,45209000000
P55000,Secreted Ly-6/uPAR-related protein 1,SLURP1,3,43.7,11.186,103,0,59.926,157300000
P55056,Apolipoprotein C-IV,APOC4,3,32.3,14.553,127,0,3.6233,54096000
P55058,Phospholipid transfer protein,PLTP,14,29.2,54.739,493,0,141.55,1679400000
P55072,Transitional endoplasmic reticulum ATPase,VCP,24,42.9,89.321,806,0,174.12,1022600000
P55103,Inhibin beta C chain,INHBC,10,31.8,38.237,352,0,67.24,1997400000
P55145,Mesencephalic astrocyte-derived neurotrophic factor,MANF,7,33.5,20.7,182,0,67.7,365290000
P55268,Laminin subunit beta-2,LAMB2,34,24.5,195.98,1798,0,150.52,1881100000
P55287,Cadherin-11,CDH11,5,8.4,76.456,693,0,4.3146,52658000
P55290,Cadherin-13,CDH13,16,26.2,78.286,713,0,323.31,10902000000
P55899,IgG receptor FcRn large subunit p51,FCGRT,6,20.5,39.743,365,0,22.874,484470000
P55957,BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11,BID,2,14.4,21.994,195,0,20.631,23288000
P56199,Integrin alpha-1,ITGA1,10,8,130.85,1179,0,20.242,420360000
P58166,Inhibin beta E chain,INHBE,4,13.7,38.561,350,0,11.574,167210000
P58335,Anthrax toxin receptor 2,ANTXR2,5,20.5,34.763,322,0,14.649,137360000
P58546,Myotrophin,MTPN,5,37.3,12.895,118,0,174.13,333900000
P59666,Neutrophil defensin 3;HP 3-56;Neutrophil defensin 2;Neutrophil defensin 1;HP 1-56;Neutrophil defensin 2,DEFA3;DEFA1,2,42.6,10.245,94,0,21.192,370710000
P60174,Triosephosphate isomerase,TPI1,17,78.7,26.669,249,0,134.41,6604700000
P61088,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,6,49.3,17.138,152,0,48.117,136610000
P61158,Actin-related protein 3,ACTR3,18,61.5,47.371,418,0,286.35,1860700000
P61160,Actin-related protein 2,ACTR2,12,44.2,44.76,394,0,162.02,645020000
P61224,Ras-related protein Rap-1b;Ras-related protein Rap-1A;Ras-related protein Rap-1b-like protein,RAP1B;RAP1A,5,37.6,18.778,165,0,18.629,186800000
P61457,Pterin-4-alpha-carbinolamine dehydratase,PCBD1,3,37.5,11.999,104,0,3.3576,25149000
P61916,Epididymal secretory protein E1,NPC2,8,66.2,16.57,151,0,82.341,3600900000
P61970,Nuclear transport factor 2,NUTF2,2,24.4,14.478,127,0,33.598,113940000
P61981,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",YWHAG,10,62.3,28.302,247,0,323.31,1205500000
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;Serine/threonine-protein phosphatase PP1-beta catalytic subunit,PPP1CA;PPP1CC;PPP1CB,7,26.1,37.512,330,0,14.329,120540000
P62258,14-3-3 protein epsilon,YWHAE,11,55.8,26.504,233,0,186.9,2108200000
P62805,Histone H4,HIST1H4A,2,19.4,11.367,103,0.0006169,2.258,52172000
P62937,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",PPIA,12,70.9,18.012,165,0,275.21,9554600000
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase,FKBP1A;FKBP12-Exip2,2,25,11.951,108,0,58.661,1159200000
P62993,Growth factor receptor-bound protein 2,GRB2,6,24.4,25.206,217,0,14.475,92333000
P63104,14-3-3 protein zeta/delta,YWHAZ,20,74.7,27.745,245,0,323.31,22147000000
P63241,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5A2;EIF5AL1,6,56.5,16.832,154,0,197.79,909640000
P63261,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTG1;ACTB,17,54.9,41.792,375,0,323.31,10645000000
P67936,Tropomyosin alpha-4 chain,TPM4,17,60.9,28.521,248,0,170.03,14460000000
P68036,Ubiquitin-conjugating enzyme E2 L3,UBE2L3,4,42.2,17.861,154,0,62.615,209210000
P68871,Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin,HBB,11,93.2,15.998,147,0,106.56,3562300000
P69905,Hemoglobin subunit alpha,HBA1,4,36.6,15.257,142,0,44.363,784210000
P78324,Tyrosine-protein phosphatase non-receptor type substrate 1;Signal-regulatory protein beta-1 isoform 3,SIRPA;SIRPB1,13,27.2,54.966,504,0,58.161,2713300000
P78417,Glutathione S-transferase omega-1,GSTO1,16,63.1,27.566,241,0,68.872,4308100000
P78504,Protein jagged-1,JAG1,14,13.5,133.8,1218,0,84.999,463450000
P78552,Interleukin-13 receptor subunit alpha-1,IL13RA1,8,23,48.759,427,0,80.901,1250800000
P80108,Phosphatidylinositol-glycan-specific phospholipase D,GPLD1,36,53.7,92.335,840,0,323.31,1.4092E+11
P80419,Ig heavy chain V-III region GAR,,3,33.1,13.087,118,0,10.751,415060000
P80511,Protein S100-A12;Calcitermin,S100A12,3,38,10.575,92,0,6.9792,463350000
P80723,Brain acid soluble protein 1,BASP1,10,55.9,22.693,227,0,123.5,827730000
P80748,Ig lambda chain V-III region LOI,,5,71.2,11.935,111,0,203.56,22232000000
P81605,Dermcidin;Survival-promoting peptide;DCD-1,DCD,5,35.5,11.284,110,0,17.566,905800000
P98095,Fibulin-2,FBLN2,12,12.7,126.57,1184,0,33.323,346630000
P98155,Very low-density lipoprotein receptor,VLDLR,5,9.9,93.382,845,0,80.203,41394000
P98160,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2,117,37.5,468.83,4391,0,323.31,39002000000
P98172,Ephrin-B1,EFNB1,6,25.7,38.006,346,0,27.185,324120000
P99999,Cytochrome c,CYCS,9,62.9,11.749,105,0,63.774,1811100000
Q00610,Clathrin heavy chain 1,CLTC,3,2.3,187.89,1639,0.0023895,1.8985,62223000
Q01459,Di-N-acetylchitobiase,CTBS,16,50.4,43.759,385,0,323.31,26379000000
Q01518,Adenylyl cyclase-associated protein 1,CAP1,16,41.3,51.901,475,0,82.674,1777800000
Q01970,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",PLCB3,2,2.5,131.2,1167,0,12.834,18582000
Q01973,Tyrosine-protein kinase transmembrane receptor ROR1,ROR1,8,27.5,43.825,393,0,110.27,161170000
Q01995,Transgelin,TAGLN,3,14.4,22.611,201,0,5.4249,214450000
Q02413,Desmoglein-1,DSG1,3,4.2,113.75,1049,0,3.8647,24766000
Q02487,Desmocollin-2,DSC2,10,17.6,93.768,847,0,254.1,503000000
Q02747,Guanylin;HMW-guanylin;Guanylin,GUCA2A,2,27,12.388,115,0,58.955,464050000
Q02763,Angiopoietin-1 receptor,TEK,11,13.6,125.83,1124,0,87.669,460020000
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,18,30,83.549,727,0,110.62,535890000
Q02818,Nucleobindin-1,NUCB1,22,51.8,53.879,461,0,323.31,2525300000
Q02952,A-kinase anchor protein 12,AKAP12,6,4.6,180.99,1677,0,8.5181,26203000
Q03167,Transforming growth factor beta receptor type 3,TGFBR3,15,19.3,93.427,850,0,79.979,2319200000
Q04446,"1,4-alpha-glucan-branching enzyme",GBE1,9,14,80.473,702,0,27.644,320270000
Q04721,Neurogenic locus notch homolog protein 2;Notch 2 extracellular truncation;Notch 2 intracellular domain,NOTCH2,23,12.8,265.4,2471,0,270.51,2036500000
Q04917,14-3-3 protein eta,YWHAH,11,52,28.218,246,0,135.03,1223800000
Q05707,Collagen alpha-1(XIV) chain,COL14A1,6,4.3,191.9,1780,0,48.331,92246000
Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,36,52,99.326,886,0,323.31,24638000000
Q06141,Regenerating islet-derived protein 3-alpha;Regenerating islet-derived protein 3-alpha 16.5 kDa form;Regenerating islet-derived protein 3-alpha 15 kDa form,REG3A,3,18.3,19.395,175,0,6.8684,366710000
Q06323,Proteasome activator complex subunit 1,PSME1,6,22.5,28.723,249,0,26.393,169130000
Q06481,Amyloid-like protein 2,APLP2,2,5.2,79.237,695,0,12.814,20426000
Q06828,Fibromodulin,FMOD,6,18.1,43.178,376,0,31.42,182970000
Q06830,Peroxiredoxin-1,PRDX1,9,43.2,22.11,199,0,16.773,471870000
Q07075,Glutamyl aminopeptidase,ENPEP,31,35.2,109.24,957,0,245.5,3848600000
Q07954,Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain,LRP1,98,25.8,504.6,4544,0,323.31,9571400000
Q07960,Rho GTPase-activating protein 1,ARHGAP1,12,34.6,50.435,439,0,121.12,476560000
Q08174,Protocadherin-1,PCDH1,6,7.4,114.74,1060,0,54.334,148210000
Q08257,Quinone oxidoreductase,CRYZ,3,9.2,31.528,295,0,4.2232,43760000
Q08334,Interleukin-10 receptor subunit beta,IL10RB,3,9.8,36.995,325,0,43.126,168370000
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1,9,12.1,97.173,876,0,46.44,339070000
Q08380,Galectin-3-binding protein,LGALS3BP,26,51.3,65.33,585,0,323.31,51639000000
Q08554,Desmocollin-1,DSC1,5,6.2,93.834,840,0,194.28,1782900000
Q08830,Fibrinogen-like protein 1,FGL1,5,14.4,36.379,312,0,69.118,236840000
Q08ET2,Sialic acid-binding Ig-like lectin 14;Sialic acid-binding Ig-like lectin 5,SIGLEC14;SIGLEC5,6,24.7,43.97,396,0,97.949,662190000
Q09327,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",MGAT3,2,6,61.312,533,0,38.84,9038600
Q09328,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",MGAT5,4,5.7,84.542,741,0,7.2077,51562000
Q09666,Neuroblast differentiation-associated protein AHNAK,AHNAK,8,5.3,629.09,5890,0,27.253,145460000
Q0VD83,Apolipoprotein B receptor,APOBR,4,5.3,66.335,626,0,4.0716,27799000
Q0ZGT2,Nexilin,NEXN,2,3.9,72.731,611,0,3.4798,20734000
Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT2,13,31.8,51.55,447,0,203.33,505950000
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form,GALNT2,25,51.7,64.732,571,0,241.78,2904000000
Q10472,Polypeptide N-acetylgalactosaminyltransferase 1;Polypeptide N-acetylgalactosaminyltransferase 1 soluble form,GALNT1,9,22.5,64.218,559,0,120.41,294050000
Q10567,AP-1 complex subunit beta-1;AP-2 complex subunit beta,AP1B1;AP2B1,5,7.3,101.35,919,0,33.557,30736000
