Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9BTT0	Q9BTT0	6	6	6	Acidic leucine-rich nuclear phosphoprotein 32 family member E	ANP32E	sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1	1	6	6	6	34.7	34.7	34.7	30.692	268	268	0	52.541	16398000	17				1039	464;967;2426;2575;3915;3972	True;True;True;True;True;True	474;985;2459;2610;3965;4023	546;1120;1121;2800;2975;4502;4503;4567	890;891;1796;1797;4452;4453;4723;7067;7068;7069;7178;7179;7180;7181;7182;7183;7184;7185	890;1796;4452;4723;7068;7183		
Q9BUF5	Q9BUF5	13	4	4	Tubulin beta-6 chain	TUBB6	sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	1	13	4	4	46.2	15.9	15.9	49.857	446	446	0	45.641	10057000	6				1040	25;1089;1321;1416;1596;2239;2504;2649;3100;3413;3469;4724;5031	True;False;False;True;False;True;False;False;True;False;False;False;False	25;1107;1342;1438;1622;2270;2538;2539;2684;2685;3140;3460;3517;4781;5090	29;1249;1512;1613;1833;1834;2586;2898;2899;3061;3062;3063;3570;3571;3936;4001;4002;5477;5478;5479;5825	42;1980;1981;2388;2389;2390;2391;2392;2393;2394;2395;2546;2547;2897;2898;2899;2900;4140;4603;4604;4605;4863;4864;4865;4866;4867;4868;5643;5644;6210;6211;6308;6309;6310;6311;6312;6313;8646;8647;8648;8649;8650;8651;8652;8653;8654;8655;8656;8657;8658;8659;8660;8661;8662;8663;8664;8665;8666;8667;8668;8669;8670;8671;8672;8673;8674;8675;8676;8677;8678;8679;8680;8681;8682;8683;8684;8685;8686;8687;8688;8689;8690;8691;8692;8693;8694;8695;9306;9307;9308	42;1981;2391;2547;2898;4140;4603;4867;5644;6211;6309;8672;9307	11;12	257;267
Q9BUJ2	Q9BUJ2	4	4	4	Heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRNPUL1	sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2	1	4	4	4	6	6	6	95.737	856	856	0	27.64	1308400	5				1041	103;2225;4836;4874	True;True;True;True	104;2256;4893;4932	118;2569;5605;5651	181;4115;8933;9005;9006	181;4115;8933;9005		
Q9BVA1;Q13885	Q9BVA1;Q13885	15;14	1;1	1;1	Tubulin beta-2B chain;Tubulin beta-2A chain	TUBB2B;TUBB2A	sp|Q9BVA1|TBB2B_HUMAN Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1;sp|Q13885|TBB2A_HUMAN Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	2	15	1	1	57.3	6.1	6.1	49.953	445	445;445	1	-2	41606000	2	+			1042	171;1090;1321;1418;1597;2281;2504;2649;2990;3224;3413;3469;3873;4112;4724	False;False;False;True;False;False;False;False;False;False;False;False;False;False;False	174;175;1108;1342;1440;1623;2312;2313;2538;2539;2684;2685;3030;3267;3460;3517;3922;4164;4781	202;203;204;1250;1251;1512;1615;1616;1835;2631;2632;2898;2899;3061;3062;3063;3445;3446;3705;3706;3936;4001;4002;4449;4739;4740;4741;5477;5478;5479	321;322;323;324;325;1982;1983;1984;1985;2388;2389;2390;2391;2392;2393;2394;2395;2551;2552;2901;2902;2903;4211;4212;4213;4214;4603;4604;4605;4863;4864;4865;4866;4867;4868;5435;5436;5437;5438;5439;5829;5830;5831;6210;6211;6308;6309;6310;6311;6312;6313;6973;6974;6975;6976;7467;7468;7469;7470;7471;7472;8646;8647;8648;8649;8650;8651;8652;8653;8654;8655;8656;8657;8658;8659;8660;8661;8662;8663;8664;8665;8666;8667;8668;8669;8670;8671;8672;8673;8674;8675;8676;8677;8678;8679;8680;8681;8682;8683;8684;8685;8686;8687;8688;8689;8690;8691;8692;8693;8694;8695	324;1983;2391;2551;2902;4213;4603;4867;5438;5831;6211;6309;6974;7468;8672	10;11;12;26	73;257;267;388
Q9BVK6;Q7Z7H5	Q9BVK6;Q7Z7H5	2;1	2;1	2;1	Transmembrane emp24 domain-containing protein 9;Transmembrane emp24 domain-containing protein 4	TMED9;TMED4	sp|Q9BVK6|TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2;sp|Q7Z7H5|TMED4_HUMAN Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMED4 PE=1 SV=1	2	2	2	2	11.9	11.9	11.9	27.277	235	235;227	0	23.593	724160	2				1043	439;3668	True;True	448;3716	513;4222	838;6651	838;6651		
Q9BVL2	Q9BVL2	2	2	2	Nucleoporin p58/p45	NUPL1	sp|Q9BVL2|NUP58_HUMAN Nucleoporin p58/p45 OS=Homo sapiens OX=9606 GN=NUP58 PE=1 SV=1	1	2	2	2	4.5	4.5	4.5	60.896	599	599	0	16.052	503740	2				1044	2205;3147	True;True	2236;3187	2547;3620	4079;5713	4079;5713		
Q9BW60	Q9BW60	1	1	1	Elongation of very long chain fatty acids protein 1	ELOVL1	sp|Q9BW60|ELOV1_HUMAN Elongation of very long chain fatty acids protein 1 OS=Homo sapiens OX=9606 GN=ELOVL1 PE=1 SV=1	1	1	1	1	4.7	4.7	4.7	32.662	279	279	0.0010428	6.8205	3039500	1				1045	3123	True	3163	3596	5679	5679		
Q9BWS9	Q9BWS9	1	1	1	Chitinase domain-containing protein 1	CHID1	sp|Q9BWS9|CHID1_HUMAN Chitinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHID1 PE=1 SV=1	1	1	1	1	3.1	3.1	3.1	44.94	393	393	0.0011429	7.7963	321960	1				1046	2743	True	2780	3168	5026	5026		
Q9BX68	Q9BX68	1	1	1	Histidine triad nucleotide-binding protein 2, mitochondrial	HINT2	sp|Q9BX68|HINT2_HUMAN Adenosine 5-monophosphoramidase HINT2 OS=Homo sapiens OX=9606 GN=HINT2 PE=1 SV=1	1	1	1	1	12.3	12.3	12.3	17.162	163	163	0.0028302	5.9279	374420	1				1047	2292	True	2324	2643	4232	4232		
Q9BXJ9	Q9BXJ9	3	3	3	N-alpha-acetyltransferase 15, NatA auxiliary subunit	NAA15	sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1	1	3	3	3	5.5	5.5	5.5	101.27	866	866	0	20.387	1487200	3				1048	4297;4832;4872	True;True;True	4349;4889;4930	4983;5601;5649	7890;7891;8927;9003	7890;8927;9003		
Q9BXT4	Q9BXT4	1	1	1	Tudor domain-containing protein 1	TDRD1	sp|Q9BXT4|TDRD1_HUMAN Tudor domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TDRD1 PE=1 SV=2	1	1	1	1	1.4	1.4	1.4	132.02	1180	1180	1	-2	0	1	+			1049	3241	True	3286	3728	5865	5865	101	470
Q9BXW7	Q9BXW7	1	1	1	Cat eye syndrome critical region protein 5	CECR5	sp|Q9BXW7|HDHD5_HUMAN Haloacid dehalogenase-like hydrolase domain-containing 5 OS=Homo sapiens OX=9606 GN=HDHD5 PE=1 SV=1	1	1	1	1	3.3	3.3	3.3	46.321	423	423	0	15.312	348570	2				1050	3564	True	3612	4103	6463;6464	6464		
Q9BYX2	Q9BYX2	1	1	1	TBC1 domain family member 2A	TBC1D2	sp|Q9BYX2|TBD2A_HUMAN TBC1 domain family member 2A OS=Homo sapiens OX=9606 GN=TBC1D2 PE=1 SV=3	1	1	1	1	1.5	1.5	1.5	105.41	928	928	1	-2	44145	0	+			1051	2429	True	2462	2803	4456	4456	102	870
Q9BZE4	Q9BZE4	1	1	1	Nucleolar GTP-binding protein 1	GTPBP4	sp|Q9BZE4|GTPB4_HUMAN GTP-binding protein 4 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3	1	1	1	1	2.8	2.8	2.8	73.964	634	634	0.0010341	6.7454	369790	1				1052	36	True	36	42	59	59		
Q9BZZ5	Q9BZZ5	1	1	1	Apoptosis inhibitor 5	API5	sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3	1	1	1	1	2.9	2.9	2.9	59.004	524	524	0.0011481	7.8711	590730	1				1053	4597	True	4652	5330	8426	8426		
Q9C0D6	Q9C0D6	1	1	1	FH2 domain-containing protein 1	FHDC1	sp|Q9C0D6|FHDC1_HUMAN FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHDC1 PE=1 SV=2	1	1	1	1	0.9	0.9	0.9	124.76	1143	1143	1	-2	141310	1	+			1054	3775	True	3823	4340	6819	6819	103	176
Q9GZP8	Q9GZP8	1	1	1	Immortalization up-regulated protein	IMUP	sp|Q9GZP8|IMUP_HUMAN Immortalization up-regulated protein OS=Homo sapiens OX=9606 GN=IMUP PE=1 SV=1	1	1	1	1	25.5	25.5	25.5	10.897	106	106	0.0010881	7.143	546580	2				1055	3130	True	3170	3603	5688;5689	5688		
Q9GZS3	Q9GZS3	1	1	1	WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed	WDR61	sp|Q9GZS3|WDR61_HUMAN WD repeat-containing protein 61 OS=Homo sapiens OX=9606 GN=WDR61 PE=1 SV=1	1	1	1	1	9.5	9.5	9.5	33.58	305	305	0.0028275	5.9166	258410	1				1056	3888	True	3938	4468	7004	7004		
Q9GZT3	Q9GZT3	2	2	2	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP	sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1	1	2	2	2	25.7	25.7	25.7	12.349	109	109	0	11.921	565600	2				1057	1659;3274	True;True	1685;3320	1918;3765	3050;5916	3050;5916		
Q9GZY8	Q9GZY8	2	2	2	Mitochondrial fission factor	MFF	sp|Q9GZY8|MFF_HUMAN Mitochondrial fission factor OS=Homo sapiens OX=9606 GN=MFF PE=1 SV=1	1	2	2	2	9.4	9.4	9.4	38.464	342	342	0	13.345	539400	1				1058	2356;3517	True;True	2389;3565	2713;4052	4325;6389	4325;6389		
Q9H0A0	Q9H0A0	1	1	1	N-acetyltransferase 10	NAT10	sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	115.73	1025	1025	0.0011338	7.701	243260	0				1059	856	True	873	988	1601	1601		
Q9H0S4	Q9H0S4	1	1	1	Probable ATP-dependent RNA helicase DDX47	DDX47	sp|Q9H0S4|DDX47_HUMAN Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1	1	1	1	1	2.2	2.2	2.2	50.646	455	455	0.0011148	7.5528	211760	1				1060	2593	True	2628	2994	4746	4746		
Q9H169	Q9H169	1	1	1	Stathmin-4	STMN4	sp|Q9H169|STMN4_HUMAN Stathmin-4 OS=Homo sapiens OX=9606 GN=STMN4 PE=1 SV=1	1	1	1	1	5.8	5.8	5.8	22.071	189	189	1	-2	188590	0	+			1061	3238	True	3283	3725	5861	5861	104;105	1;10
Q9H299	Q9H299	2	2	2	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3	sp|Q9H299|SH3L3_HUMAN SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1	1	2	2	2	20.4	20.4	20.4	10.438	93	93	0	14.18	770500	3				1062	2276;2277	True;True	2307;2308	2626;2627	4204;4205;4206	4205;4206		
Q9H2U1	Q9H2U1	1	1	1	ATP-dependent RNA helicase DHX36	DHX36	sp|Q9H2U1|DHX36_HUMAN ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2	1	1	1	1	1	1	1	114.76	1008	1008	0.0090662	5.6491	53965	0				1063	4084	True	4135	4701	7392	7392		
Q9H3K6	Q9H3K6	2	2	2	BolA-like protein 2	BOLA2	sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=1	1	2	2	2	40.7	40.7	40.7	10.116	86	86	0	13.039	842370	3				1064	615;3027	True;True	627;3067	716;3490	1157;5518;5519	1157;5518		
Q9H3N1	Q9H3N1	5	5	5	Thioredoxin-related transmembrane protein 1	TMX1	sp|Q9H3N1|TMX1_HUMAN Thioredoxin-related transmembrane protein 1 OS=Homo sapiens OX=9606 GN=TMX1 PE=1 SV=1	1	5	5	5	18.6	18.6	18.6	31.791	280	280	0	32.237	1965200	7				1065	543;1261;2793;4450;4570	True;True;True;True;True	555;1282;2831;4502;4625	636;1451;3223;5154;5303	1042;1043;2300;2301;5099;8153;8385	1043;2301;5099;8153;8385		
Q9H3U1	Q9H3U1	1	1	1	Protein unc-45 homolog A	UNC45A	sp|Q9H3U1|UN45A_HUMAN Protein unc-45 homolog A OS=Homo sapiens OX=9606 GN=UNC45A PE=1 SV=1	1	1	1	1	1.6	1.6	1.6	103.08	944	944	0.0011364	7.7372	567220	1				1066	2800	True	2838	3230	5107	5107		
Q9H4A4	Q9H4A4	1	1	1	Aminopeptidase B	RNPEP	sp|Q9H4A4|AMPB_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2	1	1	1	1	3.4	3.4	3.4	72.595	650	650	0.0011933	8.5797	311220	1				1067	5082	True	5143	5884	9404	9404		
Q9H4M9;Q9NZN3	Q9H4M9;Q9NZN3	1;1	1;1	1;1	EH domain-containing protein 1;EH domain-containing protein 3	EHD1;EHD3	sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2;sp|Q9NZN3|EHD3_HUMAN EH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EHD3 PE=1 SV=2	2	1	1	1	5.6	5.6	5.6	60.626	534	534;535	0.0073665	5.708	623630	1				1068	1247	True	1268	1437	2278	2278		
Q9H606	Q9H606	1	1	1	Proline-rich protein, Y-linked	PRORY	sp|Q9H606|PRORY_HUMAN Proline-rich protein, Y-linked OS=Homo sapiens OX=9606 GN=PRORY PE=2 SV=1	1	1	1	1	5.5	5.5	5.5	19.976	182	182	1	-2	1372200	1	+			1069	3199	True	3241	3676	5790	5790	106;107	1;2
Q9H6R4	Q9H6R4	1	1	1	Nucleolar protein 6	NOL6	sp|Q9H6R4|NOL6_HUMAN Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	127.59	1146	1146	0.0011442	7.8127	351960	1				1070	4339	True	4391	5029	7965	7965		
Q9H773	Q9H773	1	1	1	dCTP pyrophosphatase 1	DCTPP1	sp|Q9H773|DCTP1_HUMAN dCTP pyrophosphatase 1 OS=Homo sapiens OX=9606 GN=DCTPP1 PE=1 SV=1	1	1	1	1	7.6	7.6	7.6	18.681	170	170	0.0010101	6.5565	153880	1				1071	1355	True	1376	1548	2449	2449		
Q9H7Z7	Q9H7Z7	2	2	2	Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form	PTGES2	sp|Q9H7Z7|PGES2_HUMAN Prostaglandin E synthase 2 OS=Homo sapiens OX=9606 GN=PTGES2 PE=1 SV=1	1	2	2	2	8.2	8.2	8.2	41.943	377	377	0.001269	10.651	341750	1				1072	3736;4288	True;True	3784;4340	4297;4974	6756;7879	6756;7879		
Q9H910	Q9H910	1	1	1	Hematological and neurological expressed 1-like protein	HN1L	sp|Q9H910|JUPI2_HUMAN Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1	1	1	1	1	7.4	7.4	7.4	20.063	190	190	0.0011287	7.6567	184140	1				1073	1750	True	1777	2019	3195	3195		
Q9H9B4	Q9H9B4	1	1	1	Sideroflexin-1	SFXN1	sp|Q9H9B4|SFXN1_HUMAN Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=4	1	1	1	1	4	4	4	35.619	322	322	0.0011947	8.5936	221400	1				1074	3347	True	3394	3859	6066	6066		
Q9H9P8	Q9H9P8	1	1	1	L-2-hydroxyglutarate dehydrogenase, mitochondrial	L2HGDH	sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3	1	1	1	1	3.5	3.5	3.5	50.315	463	463	0.0012136	8.9007	355940	1				1075	3111	True	3151	3583	5663	5663		
Q9HAV4	Q9HAV4	2	2	2	Exportin-5	XPO5	sp|Q9HAV4|XPO5_HUMAN Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1	1	2	2	2	2.3	2.3	2.3	136.31	1204	1204	0	13.438	679410	2				1076	688;1119	True;True	701;1137	794;1280	1271;2025	1271;2025		
Q9HAV7	Q9HAV7	1	1	1	GrpE protein homolog 1, mitochondrial	GRPEL1	sp|Q9HAV7|GRPE1_HUMAN GrpE protein homolog 1, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL1 PE=1 SV=2	1	1	1	1	5.1	5.1	5.1	24.279	217	217	0.0011123	7.5401	306710	1				1077	633	True	645	735	1184	1184		
Q9HB71	Q9HB71	7	7	7	Calcyclin-binding protein	CACYBP	sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2	1	7	7	7	49.6	49.6	49.6	26.21	228	228	0	45.858	5189700	7				1078	93;942;2291;2375;3856;4093;4837	True;True;True;True;True;True;True	94;960;2323;2408;3904;4144;4894	108;1091;2642;2739;2740;4430;4712;5606	168;1753;4231;4367;4368;6948;7416;8934	168;1753;4231;4368;6948;7416;8934		
Q9HC38	Q9HC38	1	1	1	Glyoxalase domain-containing protein 4	GLOD4	sp|Q9HC38|GLOD4_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1	1	1	1	1	8.3	8.3	8.3	34.793	313	313	0	11.361	753150	2				1079	4257	True	4309	4942	7826;7827	7826		
Q9NNW7	Q9NNW7	2	1	1	Thioredoxin reductase 2, mitochondrial	TXNRD2	sp|Q9NNW7|TRXR2_HUMAN Thioredoxin reductase 2, mitochondrial OS=Homo sapiens OX=9606 GN=TXNRD2 PE=1 SV=3	1	2	1	1	8.8	5.9	5.9	56.506	524	524	0.0064695	5.7421	687180	1				1080	2810;4847	True;False	2849;4905	3245;5623	5135;8965;8966	5135;8965		
Q9NPH2	Q9NPH2	1	1	1	Inositol-3-phosphate synthase 1	ISYNA1	sp|Q9NPH2|INO1_HUMAN Inositol-3-phosphate synthase 1 OS=Homo sapiens OX=9606 GN=ISYNA1 PE=1 SV=1	1	1	1	1	2	2	2	61.067	558	558	0.0011074	7.4866	173870	1				1081	4573	True	4628	5306	8389	8389		
Q9NQC3	Q9NQC3	3	3	3	Reticulon-4	RTN4	sp|Q9NQC3|RTN4_HUMAN Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2	1	3	3	3	5.1	5.1	5.1	129.93	1192	1192	0	18.779	1034700	4				1082	1715;2432;5094	True;True;True	1742;2465;5155	1983;2806;5897	3143;3144;4459;9424	3144;4459;9424		
Q9NQG5	Q9NQG5	2	1	1	Regulation of nuclear pre-mRNA domain-containing protein 1B	RPRD1B	sp|Q9NQG5|RPR1B_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1	1	2	1	1	9.2	4.6	4.6	36.899	326	326	0.0088261	5.5453	455260	1				1083	869;2971	True;False	886;3011	1001;3422;3423	1619;5399;5400	1619;5399		
Q9NQR4	Q9NQR4	1	1	1	Omega-amidase NIT2	NIT2	sp|Q9NQR4|NIT2_HUMAN Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1	1	1	1	1	5.4	5.4	5.4	30.608	276	276	0.0010373	6.7735	161380	1				1084	369	True	376	433	703	703		
Q9NQW7	Q9NQW7	1	1	1	Xaa-Pro aminopeptidase 1	XPNPEP1	sp|Q9NQW7|XPP1_HUMAN Xaa-Pro aminopeptidase 1 OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=3	1	1	1	1	2.7	2.7	2.7	69.917	623	623	0.0012063	8.8664	413800	1				1085	4240	True	4292	4918	7783	7783		
Q9NR28	Q9NR28	1	1	1	Diablo homolog, mitochondrial	DIABLO	sp|Q9NR28|DBLOH_HUMAN Diablo IAP-binding mitochondrial protein OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1	1	1	1	1	7.1	7.1	7.1	27.131	239	239	0.001233	9.1062	597620	2				1086	3202	True	3244	3679;3680	5793;5794	5793		
Q9NR30	Q9NR30	3	3	3	Nucleolar RNA helicase 2	DDX21	sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	1	3	3	3	5.7	5.7	5.7	87.343	783	783	0	23.832	818360	2				1087	284;2958;4884	True;True;True	289;2998;4942	338;3409;5662	556;5379;9020	556;5379;9020		
Q9NR31	Q9NR31	2	2	2	GTP-binding protein SAR1a	SAR1A	sp|Q9NR31|SAR1A_HUMAN GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1	1	2	2	2	16.2	16.2	16.2	22.367	198	198	0	12.153	1302400	5				1088	914;3509	True;True	931;3557	1055;4044	1695;1696;6375;6376;6377	1696;6376		
Q9NR45	Q9NR45	4	4	4	Sialic acid synthase	NANS	sp|Q9NR45|SIAS_HUMAN Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2	1	4	4	4	22.3	22.3	22.3	40.307	359	359	0	25.917	3610000	6				1089	1747;2248;4656;4900	True;True;True;True	1774;2279;4712;4958	2016;2595;5398;5679;5680	3191;4152;8522;8523;9051;9052;9053	3191;4152;8522;9053		
Q9NR56;Q9NUK0;Q5VZF2	Q9NR56;Q9NUK0;Q5VZF2	2;1;1	2;1;1	2;1;1	Muscleblind-like protein 1;Muscleblind-like protein 3;Muscleblind-like protein 2	MBNL1;MBNL3;MBNL2	sp|Q9NR56|MBNL1_HUMAN Muscleblind-like protein 1 OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=2;sp|Q9NUK0|MBNL3_HUMAN Muscleblind-like protein 3 OS=Homo sapiens OX=9606 GN=MBNL3 PE=1 SV=2;sp|Q5VZF2|MBNL2_HUMAN Muscleblind-like protein 2 OS=Homo sapiens OX=9606	3	2	2	2	8.5	8.5	8.5	41.817	388	388;354;373	0	11.314	992190	2				1090	1150;4870	True;True	1169;4928	1316;5647	2082;9001	2082;9001		
Q9NRW3	Q9NRW3	1	1	1	DNA dC->dU-editing enzyme APOBEC-3C	APOBEC3C	sp|Q9NRW3|ABC3C_HUMAN DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	1	1	1	1	9.5	9.5	9.5	22.826	190	190	0.0028544	6.0083	660070	2				1091	4928	True	4986	5709	9100;9101	9100		
Q9NRX1	Q9NRX1	1	1	1	RNA-binding protein PNO1	PNO1	sp|Q9NRX1|PNO1_HUMAN RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1	1	1	1	1	7.1	7.1	7.1	27.924	252	252	0.0010395	6.7933	541900	1				1092	2517	True	2552	2914	4639	4639		
Q9NS69	Q9NS69	2	2	2	Mitochondrial import receptor subunit TOM22 homolog	TOMM22	sp|Q9NS69|TOM22_HUMAN Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3	1	2	2	2	16.2	16.2	16.2	15.521	142	142	0	17.996	801400	3				1093	2908;3065	True;True	2948;3105	3356;3533	5293;5582;5583	5293;5582		
Q9NSD9	Q9NSD9	4	4	4	Phenylalanine--tRNA ligase beta subunit	FARSB	sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3	1	4	4	4	10.2	10.2	10.2	66.115	589	589	0	27.517	1636500	5				1094	63;1924;2598;3436	True;True;True;True	63;1951;2633;3484	72;2222;2999;3963	109;3544;4751;4752;6250	109;3544;4751;6250		
Q9NSE4	Q9NSE4	2	2	2	Isoleucine--tRNA ligase, mitochondrial	IARS2	sp|Q9NSE4|SYIM_HUMAN Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2	1	2	2	2	2.3	2.3	2.3	113.79	1012	1012	0	11.048	614070	1				1095	997;5101	True;True	1015;5162	1152;5907	1840;9440	1840;9440		
Q9NTK5	Q9NTK5	4	4	4	Obg-like ATPase 1	OLA1	sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2	1	4	4	4	16.9	16.9	16.9	44.743	396	396	0	32.213	2542500	5				1096	1431;3508;3559;4031	True;True;True;True	1453;3556;3607;4082	1633;4043;4098;4638	2583;6373;6374;6455;6456;7290	2583;6374;6456;7290		
Q9NTZ6	Q9NTZ6	1	1	1	RNA-binding protein 12	RBM12	sp|Q9NTZ6|RBM12_HUMAN RNA-binding protein 12 OS=Homo sapiens OX=9606 GN=RBM12 PE=1 SV=1	1	1	1	1	1.4	1.4	1.4	97.394	932	932	0.0073394	5.6949	349540	1				1097	800	True	816	926	1503	1503		
Q9NUQ9;Q9H0Q0	Q9NUQ9	4;1	4;1	4;1	Protein FAM49B	FAM49B	sp|Q9NUQ9|CYRIB_HUMAN CYFIP-related Rac1 interactor B OS=Homo sapiens OX=9606 GN=CYRIB PE=1 SV=1	2	4	4	4	15.1	15.1	15.1	36.748	324	324;323	0	24.682	1003500	4				1098	937;3226;3240;3614	True;True;True;True	955;3269;3285;3662	1086;3708;3727;4161	1747;5834;5864;6552	1747;5834;5864;6552		
Q9NVP1	Q9NVP1	2	2	2	ATP-dependent RNA helicase DDX18	DDX18	sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2	1	2	2	2	4.2	4.2	4.2	75.406	670	670	0	11.788	849100	2				1099	1585;4708	True;True	1611;4765	1820;5459	2880;8620	2880;8620		
Q9NX24	Q9NX24	1	1	1	H/ACA ribonucleoprotein complex subunit 2	NHP2	sp|Q9NX24|NHP2_HUMAN H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens OX=9606 GN=NHP2 PE=1 SV=1	1	1	1	1	16.3	16.3	16.3	17.201	153	153	0.0028517	6.0007	832090	1				1100	1620	True	1646	1869	2972	2972		
