Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized 1st,LNCaP/RWPE-1 normalized 2nd,LNCaP/RWPE-1 normalized 3rd
Q99575,Ribonucleases P/MRP protein subunit POP1 (hPOP1),POP1 KIAA0061,0.74283,0.81745,0.67598
Q99613,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),EIF3C EIF3S8,0.94562,0.88423,0.87209
Q99615,DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2) (TPR repeat protein 2),DNAJC7 TPR2 TTC2,0.86145,0.78876,0.8641
Q99623,Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity),PHB2 BAP REA,1.3679,1.4341,1.4118
Q99640,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase),PKMYT1 MYT1,0.80643,0.88442,0.89604
Q99643,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1) (Succinate dehydrogenase complex subunit C) (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)",SDHC CYB560 SDH3,1.0408,1.0186,1.1159
Q99653,Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22),CHP1 CHP,1.0608,1.0584,0.91406
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2,2.1368,2.1874,2.0859
Q99729,Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1),HNRNPAB ABBP1 HNRPAB,0.64363,0.60405,0.58493
Q99733,Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2),NAP1L4 NAP2,0.83692,0.81489,0.7947
Q99747,Gamma-soluble NSF attachment protein (SNAP-gamma) (N-ethylmaleimide-sensitive factor attachment protein gamma),NAPG SNAPG,0.80987,0.91946,0.85734
Q99798,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",ACO2,1.4871,1.4823,1.5676
Q99805,Transmembrane 9 superfamily member 2 (p76),TM9SF2,1.1055,0.87453,0.90414
Q99816,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),TSG101,0.82338,0.88525,0.80776
Q99829,Copine-1 (Chromobindin 17) (Copine I),CPNE1 CPN1,0.50595,0.48621,0.52997
Q99832,"T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]",CCT7 CCTH NIP7-1,0.87496,0.92073,0.89369
Q99848,Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40),EBNA1BP2 EBP2,0.71647,0.7437,1.198
Q99873,Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4),PRMT1 HMT2 HRMT1L2 IR1B4,1.0627,1.0026,1.0171
Q99880,Histone H2B type 1-L (Histone H2B.c) (H2B/c),H2BC13 H2BFC HIST1H2BL,0.88424,0.85678,0.79377
Q99961,Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1),SH3GL1 CNSA1 SH3D2B,0.86774,0.80561,0.99548
Q9BPW8,Protein NipSnap homolog 1 (NipSnap1),NIPSNAP1,1.6263,3.0933,2.0029
Q9BPX3,Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog),NCAPG CAPG NYMEL3,0.53437,0.53425,0.53986
Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2),ARPC5L,0.39273,0.35206,0.36836
Q9BQ67,Glutamate-rich WD repeat-containing protein 1,GRWD1 GRWD KIAA1942 WDR28,0.36658,0.40385,0.41866
Q9BQ69,ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-),MACROD1 LRP16,2.4881,2.3458,2.5494
Q9BQA1,Methylosome protein 50 (MEP-50) (Androgen receptor cofactor p44) (WD repeat-containing protein 77) (p44/Mep50),WDR77 MEP50 WD45 HKMT1069 Nbla10071,0.99653,0.93798,1.0986
Q9BQE3,Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain],TUBA1C TUBA6,0.82765,0.80665,0.85156
Q9BQG0,Myb-binding protein 1A,MYBBP1A P160,1.1234,1.1207,1.1319
Q9BR76,Coronin-1B (Coronin-2),CORO1B,1.4064,1.2817,1.3182
Q9BRA2,Thioredoxin domain-containing protein 17 (14 kDa thioredoxin-related protein) (TRP14) (Protein 42-9-9) (Thioredoxin-like protein 5),TXNDC17 TXNL5,0.8772,0.82623,0.8553
Q9BRF8,Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1) (Complete S-transactivated protein 1),CPPED1 CSTP1,1.4557,1.7213,1.5264
Q9BRK5,45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4),SDF4 CAB45 PSEC0034,4.2519,3.8361,4.0071
Q9BS26,Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4),ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075,0.62916,0.65801,0.64699
Q9BSD7,Cancer-related nucleoside-triphosphatase (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase),NTPCR C1orf57,2.5774,2.7282,2.52
Q9BSH4,Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I),TACO1 CCDC44 PRO0477,1.6552,1.6863,1.824
Q9BSJ8,Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein),ESYT1 FAM62A KIAA0747 MBC2,0.86206,0.85393,0.78187
Q9BT78,COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4),COPS4 CSN4,1.2559,1.2639,1.2831
Q9BTD8,RNA-binding protein 42 (RNA-binding motif protein 42),RBM42,1.1693,0.85475,0.9659
Q9BTE3,Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein),MCMBP C10orf119,0.60361,0.54635,0.60098
Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),ANP32E,0.61269,0.60529,0.58224
Q9BTV4,Transmembrane protein 43 (Protein LUMA),TMEM43 UNQ2564/PRO6244,0.28248,0.39373,0.25517
Q9BTW9,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),TBCD KIAA0988 SSD1 TFCD PP1096,0.87635,0.81326,0.90157
Q9BUB7,"Transmembrane protein 70, mitochondrial",TMEM70,1.8857,2.1393,1.8186
Q9BUF5,Tubulin beta-6 chain (Tubulin beta class V),TUBB6,0.33653,0.6588,0.17992
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5),HNRNPUL1 E1BAP5 HNRPUL1,0.62001,0.97974,0.92396
Q9BUL8,Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15),PDCD10 CCM3 TFAR15,0.44896,0.44578,0.51594
Q9BUQ8,Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD),DDX23,1.0915,1.1031,1.0581
Q9BV20,Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein),MRI1 MRDI UNQ6390/PRO21135,0.40945,0.30445,0.37899
Q9BV86,"N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (N-terminal RCC1 methyltransferase) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]",NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003,0.4444,0.44399,0.415
Q9BVG4,Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1),PBDC1 CXorf26,0.94481,0.91732,0.73739
Q9BVI4,Nucleolar complex protein 4 homolog (NOC4 protein homolog) (NOC4-like protein) (Nucleolar complex-associated protein 4-like protein),NOC4L,1.028,1.2885,1.1985
Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16),UTP14A SDCCAG16,1.5732,1.3458,1.4018
Q9BVK6,Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2) (p25),TMED9 GP25L2,1.238,1.3522,1.452
Q9BVP2,Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin),GNL3 E2IG3 NS,1.7243,1.6963,1.6595
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)",ACAT2 ACTL,0.20543,0.19432,0.21911
Q9BWF3,RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a),RBM4 RBM4A,1.1149,1.0903,1.3007
Q9BWJ5,Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit),SF3B5 SF3B10,1.1245,1.2279,1.2054
Q9BWM7,Sideroflexin-3,SFXN3,1.1678,0.91459,1.4042
Q9BX68,"Adenosine 5'-monophosphoramidase HINT2 (EC 3.9.1.-) (HINT-3) (HIT-17kDa) (Histidine triad nucleotide-binding protein 2, mitochondrial) (HINT-2) (PKCI-1-related HIT protein)",HINT2,2.0653,2.1772,2.2081
Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)",NAA15 GA19 NARG1 NATH TBDN100,0.5301,0.50152,0.56828
Q9BXP5,Serrate RNA effector molecule homolog (Arsenite-resistance protein 2),SRRT ARS2 ASR2,1.0208,1.0156,0.93897
Q9BXS5,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),AP1M1 CLTNM,0.72559,0.71149,0.62032
Q9BY44,"Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]",EIF2A CDA02 MSTP004 MSTP089,0.91041,0.92563,0.9347
Q9BY77,Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR),POLDIP3 KIAA1649 PDIP46,0.92373,0.94961,1.2531
Q9BYD1,"39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)",MRPL13,1.7015,1.5478,1.5809
Q9BYD2,"39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9) (Mitochondrial large ribosomal subunit protein bL9m)",MRPL9,1.4485,1.5089,1.3255
Q9BYN0,Sulfiredoxin-1 (EC 1.8.98.2),SRXN1 C20orf139 SRX SRX1,1.4357,1.9792,1.3517
Q9BYT8,"Neurolysin, mitochondrial (EC 3.4.24.16) (Angiotensin-binding protein) (Microsomal endopeptidase) (MEP) (Mitochondrial oligopeptidase M) (Neurotensin endopeptidase)",NLN AGTBP KIAA1226,1.0488,0.93281,1.01
Q9BZE1,"39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)",MRPL37 MRPL2 RPML2 HSPC235,1.6833,1.6043,1.6626
Q9BZE4,GTP-binding protein 4 (Chronic renal failure gene protein) (GTP-binding protein NGB) (Nucleolar GTP-binding protein 1),GTPBP4 CRFG NOG1,1.1135,1.1934,1.1457
Q9BZZ5,Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL),API5 MIG8,0.70668,0.73158,0.64282
Q9C0C2,182 kDa tankyrase-1-binding protein,TNKS1BP1 KIAA1741 TAB182,0.67116,0.72015,0.79214
Q9GZS3,"WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog) (SKI8 homolog) (Ski8) [Cleaved into: WD repeat-containing protein 61, N-terminally processed]",WDR61,0.98947,0.93955,1.0035
Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP C14orf156 DC23 DC50 PD04872,1.1763,1.1787,1.1533
Q9GZU8,PSME3-interacting protein (NEFA-interacting nuclear protein NIP30) (PA28G-interacting protein),PSME3IP1 C16orf94 FAM192A NIP30 PIP30 CDA018 CDA10,1.2088,1.3168,1.2222
Q9GZZ1,N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit),NAA50 MAK3 NAT13 NAT5,0.68845,0.62084,0.66215
Q9H074,Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1),PAIP1,0.59505,0.59021,0.60158
Q9H0A0,RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP),NAT10 ALP KIAA1709,0.86888,0.94465,0.91672
Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP) (EC 3.1.3.16),ILKAP,1.1697,1.2701,1.283
Q9H0D6,5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein),XRN2,0.85232,0.79039,0.74125
Q9H0U4,Ras-related protein Rab-1B (EC 3.6.5.2),RAB1B,1.1773,1.146,1.1504
Q9H0W9,Ester hydrolase C11orf54 (EC 3.1.-.-),C11orf54 LP4947 PTD012,4.7264,5.2112,5.1599
Q9H223,EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4),EHD4 HCA10 HCA11 PAST4 FKSG7,0.29719,0.24373,0.24407
Q9H2H8,Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (Cyclophilin J) (CyPJ) (Cyclophilin-like protein PPIL3) (Rotamase PPIL3),PPIL3,0.88072,0.90454,0.76393
Q9H2K8,Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3),TAOK3 DPK JIK KDS MAP3K18,0.99174,1.2815,1.5327
Q9H2U1,ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein),DHX36 DDX36 KIAA1488 MLEL1 RHAU,1.0289,1.1353,1.1689
Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)",PPA2 HSPC124,1.2808,1.1719,1.2104
Q9H3K6,BolA-like protein 2,BOLA2 BOLA2A My016; BOLA2B,1.2112,1.1588,1.1537
Q9H3N1,Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein),TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268,0.66717,0.67681,0.6886
Q9H3P7,"Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]",ACBD3 GCP60 GOCAP1 GOLPH1,0.91289,0.76916,0.83154
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14),PTPN23 KIAA1471,0.96401,0.94683,0.80242
Q9H3U1,Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1),UNC45A SMAP1,0.77422,0.84352,0.87024
Q9H3Z4,DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP),DNAJC5 CLN4,1.2884,0.82837,0.8846
Q9H444,Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2),CHMP4B C20orf178 SHAX1,0.71575,0.71109,0.7203
Q9H4A4,Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase),RNPEP APB,1.1731,1.2224,1.2456
Q9H583,"HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]",HEATR1 BAP28 UTP10,0.85979,0.79629,0.76979
Q9H6S3,Epidermal growth factor receptor kinase substrate 8-like protein 2 (EPS8-like protein 2) (Epidermal growth factor receptor pathway substrate 8-related protein 2) (EPS8-related protein 2),EPS8L2 EPS8R2 PP13181,0.44248,0.43697,0.467
Q9H6Z4,Ran-binding protein 3 (RanBP3),RANBP3,1.0679,0.98175,1.1787
Q9H773,dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein),DCTPP1 XTP3TPA CDA03,1.3153,1.4782,1.2877
Q9H7B2,Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog),RPF2 BXDC1,1.6284,1.8866,1.6748
Q9H7Z7,Prostaglandin E synthase 2 (EC 5.3.99.3) (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) [Cleaved into: Prostaglandin E synthase 2 truncated form],PTGES2 C9orf15 PGES2,1.3659,1.1262,1.1673
Q9H845,"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)",ACAD9,1.5683,1.6578,1.6245
Q9H8Y8,Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59),GORASP2 GOLPH6,0.90294,0.9756,0.88914
Q9H910,Jupiter microtubule associated homolog 2 (Hematological and neurological expressed 1-like protein) (HN1-like protein),JPT2 C16orf34 HN1L L11,1.3421,1.3537,1.4767
Q9H936,Mitochondrial glutamate carrier 1 (GC-1) (Glutamate/H(+) symporter 1) (Solute carrier family 25 member 22),SLC25A22 GC1,2.0534,2.1872,2.0638
Q9H9A6,Leucine-rich repeat-containing protein 40,LRRC40,1.4209,1.4326,1.0043
Q9H9B4,Sideroflexin-1,SFXN1,1.3836,1.5476,1.6067
Q9H9J2,"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-) (Mitochondrial large ribosomal subunit protein mL44)",MRPL44,1.3953,1.3607,1.0643
Q9HAB8,Phosphopantothenate--cysteine ligase (EC 6.3.2.51) (Phosphopantothenoylcysteine synthetase) (PPC synthetase),PPCS COAB,1.3964,1.313,1.3687
Q9HAV4,Exportin-5 (Exp5) (Ran-binding protein 21),XPO5 KIAA1291 RANBP21,0.90992,0.899,0.92135
Q9HAV7,"GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)",GRPEL1 GREPEL1,1.1058,1.0004,1.0986
Q9HB71,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),CACYBP S100A6BP SIP PNAS-107,0.9906,1.0552,1.0373
Q9HC07,Transmembrane protein 165 (Transmembrane protein PT27) (Transmembrane protein TPARL),TMEM165 TPARL,1.3639,1.4412,1.4654
Q9HC35,Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120),EML4 C2orf2 EMAPL4,1.2533,1.2958,1.3348
Q9HC38,Glyoxalase domain-containing protein 4,GLOD4 C17orf25 CGI-150 My027,1.753,1.2412,1.6533
Q9HCU5,Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12),PREB SEC12,1.7431,1.7889,1.7846
Q9HD45,Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein),TM9SF3 SMBP UNQ245/PRO282,1.1434,1.0834,1.1318
Q9HDC9,Adipocyte plasma membrane-associated protein (Protein BSCv),APMAP C20orf3 UNQ1869/PRO4305,1.3022,1.2902,1.3917
Q9NNW7,"Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Selenoprotein Z) (SelZ) (TR-beta) (Thioredoxin reductase TR3)",TXNRD2 KIAA1652 TRXR2,2.5924,3.1628,2.8163
Q9NP61,ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3),ARFGAP3 ARFGAP1,1.3982,1.5519,1.5315
Q9NP72,Ras-related protein Rab-18,RAB18,0.92202,0.84428,0.87482
Q9NP92,"39S ribosomal protein S30, mitochondrial (MRP-S30) (S30mt) (Mitochondrial large ribosomal subunit protein mL65) (Mitochondrial large ribosomal subunit protein mS30) (Programmed cell death protein 9)",MRPS30 PDCD9 BM-047,1.4405,1.6846,1.6017
Q9NP97,"Dynein light chain roadblock-type 1 (Bithoraxoid-like protein) (BLP) (Dynein light chain 2A, cytoplasmic) (Dynein-associated protein Km23) (Roadblock domain-containing protein 1)",DYNLRB1 BITH DNCL2A DNLC2A ROBLD1 HSPC162,0.69766,0.67539,0.6588
Q9NPD3,Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A),EXOSC4 RRP41 SKI6,0.80521,0.86028,0.88441
Q9NPF5,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),DMAP1 KIAA1425,1.3296,1.2288,1.2843
Q9NPJ3,"Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]",ACOT13 THEM2 HT012 PNAS-27,1.6626,1.7167,1.6415
Q9NQC3,Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5),RTN4 KIAA0886 NOGO My043 SP1507,0.64328,0.63513,0.66181
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor),RPRD1B C20orf77 CREPT,0.61036,0.64806,0.66322
Q9NQR4,Omega-amidase NIT2 (EC 3.5.1.3) (Nitrilase homolog 2),NIT2 CUA002,1.2928,1.1834,1.273
Q9NQW7,"Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)",XPNPEP1 XPNPEPL XPNPEPL1,1.101,1.1219,1.211
Q9NR28,"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)",DIABLO SMAC,2.0687,2.0565,2.0832
Q9NR30,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),DDX21,1.0923,1.0325,1.1421
Q9NR31,GTP-binding protein SAR1a (COPII-associated small GTPase),SAR1A SAR1 SARA SARA1,0.80415,0.691,0.78436
Q9NR45,Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase),NANS SAS,1.399,1.4948,1.5122
Q9NR46,Endophilin-B2 (SH3 domain-containing GRB2-like protein B2),SH3GLB2 KIAA1848 PP578,0.83543,0.95543,1.0518
Q9NR56,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),MBNL1 EXP KIAA0428 MBNL,0.87343,0.83222,0.87398
Q9NRG9,Aladin (Adracalin),AAAS ADRACALA GL003,0.98162,1.0639,1.0542
